pre_mirna_fk	tx_id	tx_biotype	in_intron	in_exon	is_outside	exon_id	gene_id
18	ENST00000577266	miRNA	0	1	0	ENSE00002394750	ENSG00000264881
19	ENST00000478749	processed_transcript	4	0	0		ENSG00000116691
19	ENST00000235332	protein_coding	5	0	0		ENSG00000116691
19	ENST00000436478	protein_coding	5	0	0		ENSG00000116691
19	ENST00000466860	processed_transcript	3	0	0		ENSG00000116691
19	ENST00000498685	processed_transcript	2	0	0		ENSG00000116691
19	ENST00000492256	processed_transcript	1	0	0		ENSG00000116691
19	ENST00000460823	processed_transcript	1	0	0		ENSG00000116691
20	ENST00000376259	protein_coding	0	1	1	ENSE00003616816	ENSG00000028137
20	ENST00000492361	processed_transcript	0	1	1	ENSE00003528441	ENSG00000028137
20	ENST00000536782	protein_coding	0	1	1	ENSE00003616816	ENSG00000028137
21	ENST00000376259	protein_coding	3	0	0		ENSG00000028137
21	ENST00000492361	processed_transcript	2	0	0		ENSG00000028137
21	ENST00000536782	protein_coding	3	0	0		ENSG00000028137
21	ENST00000584158	miRNA	0	1	0	ENSE00002705738	ENSG00000263676
22	ENST00000376223	protein_coding	3	0	0		ENSG00000162496
22	ENST00000464917	processed_transcript	2	0	0		ENSG00000162496
22	ENST00000430996	protein_coding	3	0	0		ENSG00000162496
23	ENST00000583661	miRNA	0	1	0	ENSE00002699344	ENSG00000263811
24	ENST00000375460	protein_coding	13	0	0		ENSG00000142619
24	ENST00000582732	miRNA	0	1	0	ENSE00002711854	ENSG00000266634
25	ENST00000494072	nonsense_mediated_decay	14	0	0		ENSG00000255275
25	ENST00000290597	protein_coding	6	0	0		ENSG00000159423
25	ENST00000375341	protein_coding	6	0	0		ENSG00000159423
25	ENST00000538839	protein_coding	6	0	0		ENSG00000159423
25	ENST00000538309	protein_coding	6	0	0		ENSG00000159423
25	ENST00000454547	processed_transcript	2	0	0		ENSG00000159423
25	ENST00000432718	protein_coding	5	0	0		ENSG00000159423
25	ENST00000577305	miRNA	0	1	0	ENSE00002695323	ENSG00000265606
26	ENST00000494072	nonsense_mediated_decay	8	0	0		ENSG00000255275
26	ENST00000290597	protein_coding	1	0	0		ENSG00000159423
26	ENST00000375341	protein_coding	1	0	0		ENSG00000159423
26	ENST00000538839	protein_coding	1	0	0		ENSG00000159423
26	ENST00000432718	protein_coding	1	0	0		ENSG00000159423
26	ENST00000408735	miRNA	0	1	0	ENSE00001565370	ENSG00000221662
27	ENST00000321556	protein_coding	0	1	0	ENSE00001465660	ENSG00000158828
28	ENST00000264211	protein_coding	2	0	0		ENSG00000075151
28	ENST00000602326	protein_coding	5	0	0		ENSG00000075151
28	ENST00000400422	protein_coding	5	0	0		ENSG00000075151
28	ENST00000374935	protein_coding	2	0	0		ENSG00000075151
28	ENST00000374937	protein_coding	2	0	0		ENSG00000075151
28	ENST00000356916	protein_coding	8	0	0		ENSG00000075151
28	ENST00000374927	protein_coding	3	0	0		ENSG00000075151
28	ENST00000438975	protein_coding	5	0	0		ENSG00000075151
28	ENST00000411888	protein_coding	5	0	0		ENSG00000075151
28	ENST00000408881	miRNA	0	1	0	ENSE00001565516	ENSG00000221808
29	ENST00000581169	miRNA	0	1	0	ENSE00002694821	ENSG00000266564
31	ENST00000544305	protein_coding	1	0	0		ENSG00000133216
31	ENST00000374630	protein_coding	1	0	0		ENSG00000133216
31	ENST00000400191	protein_coding	1	0	0		ENSG00000133216
31	ENST00000374632	protein_coding	1	0	0		ENSG00000133216
31	ENST00000581646	miRNA	0	1	0	ENSE00002721039	ENSG00000265422
32	ENST00000581187	miRNA	0	1	0	ENSE00002690245	ENSG00000264014
33	ENST00000356634	protein_coding	2	0	0		ENSG00000004487
33	ENST00000400181	protein_coding	2	0	0		ENSG00000004487
33	ENST00000542151	protein_coding	2	0	0		ENSG00000004487
33	ENST00000577915	miRNA	0	1	0	ENSE00002707582	ENSG00000263793
34	ENST00000427154	antisense	1	0	0		ENSG00000240553
34	ENST00000583845	miRNA	0	1	0	ENSE00002686685	ENSG00000266802
35	ENST00000578143	miRNA	0	1	0	ENSE00002688141	ENSG00000264926
36	ENST00000399916	protein_coding	3	0	0		ENSG00000020633
36	ENST00000308873	protein_coding	2	0	0		ENSG00000020633
36	ENST00000338888	protein_coding	4	0	0		ENSG00000020633
36	ENST00000540420	protein_coding	2	0	0		ENSG00000020633
36	ENST00000496967	processed_transcript	2	0	0		ENSG00000020633
37	ENST00000580572	miRNA	0	1	0	ENSE00002705760	ENSG00000264371
38	ENST00000426559	protein_coding	1	1	0	ENSE00001709741	ENSG00000117632
38	ENST00000455785	protein_coding	1	1	0	ENSE00001709741	ENSG00000117632
38	ENST00000465604	processed_transcript	0	0	0		ENSG00000117632
38	ENST00000357865	protein_coding	1	0	0		ENSG00000117632
38	ENST00000580971	miRNA	0	1	0	ENSE00002720896	ENSG00000264021
39	ENST00000374168	protein_coding	8	0	0		ENSG00000117676
39	ENST00000374166	protein_coding	8	0	0		ENSG00000117676
39	ENST00000526792	protein_coding	8	0	0		ENSG00000117676
39	ENST00000374162	protein_coding	7	0	0		ENSG00000117676
39	ENST00000530003	protein_coding	7	0	0		ENSG00000117676
39	ENST00000531113	retained_intron	7	0	0		ENSG00000117676
39	ENST00000374163	nonsense_mediated_decay	8	0	0		ENSG00000117676
39	ENST00000531382	protein_coding	7	0	0		ENSG00000117676
39	ENST00000459548	miRNA	0	1	0	ENSE00001808351	ENSG00000238705
40	ENST00000294507	protein_coding	4	0	0		ENSG00000162511
40	ENST00000464569	processed_transcript	4	0	0		ENSG00000162511
40	ENST00000583944	miRNA	0	1	0	ENSE00002693183	ENSG00000264773
41	ENST00000398556	protein_coding	1	0	0		ENSG00000121753
41	ENST00000398547	protein_coding	1	0	0		ENSG00000121753
41	ENST00000373655	protein_coding	1	0	0		ENSG00000121753
41	ENST00000373658	protein_coding	1	0	0		ENSG00000121753
41	ENST00000398542	protein_coding	1	0	0		ENSG00000121753
41	ENST00000257070	protein_coding	1	0	0		ENSG00000121753
41	ENST00000533175	protein_coding	1	0	0		ENSG00000121753
41	ENST00000436464	protein_coding	1	0	0		ENSG00000121753
41	ENST00000581063	miRNA	0	1	0	ENSE00002687514	ENSG00000266580
42	ENST00000487305	processed_transcript	5	0	0		ENSG00000121775
42	ENST00000336294	protein_coding	5	0	0		ENSG00000121775
42	ENST00000438825	protein_coding	4	0	0		ENSG00000121775
42	ENST00000441402	nonsense_mediated_decay	3	0	0		ENSG00000121775
42	ENST00000472503	processed_transcript	5	0	0		ENSG00000121775
42	ENST00000456834	protein_coding	4	0	0		ENSG00000121775
42	ENST00000468135	processed_transcript	6	0	0		ENSG00000121775
42	ENST00000466321	processed_transcript	5	0	0		ENSG00000121775
42	ENST00000373634	protein_coding	3	0	0		ENSG00000121775
42	ENST00000427288	protein_coding	6	0	0		ENSG00000121775
42	ENST00000476968	processed_transcript	6	0	0		ENSG00000121775
42	ENST00000498613	processed_transcript	3	0	0		ENSG00000121775
42	ENST00000577515	miRNA	0	1	0	ENSE00002709089	ENSG00000266203
43	ENST00000431992	protein_coding	8	9	0	ENSE00003595497	ENSG00000134686
43	ENST00000485928	processed_transcript	2	3	0	ENSE00003508382	ENSG00000134686
43	ENST00000373418	protein_coding	2	3	0	ENSE00003595497	ENSG00000134686
43	ENST00000373422	protein_coding	3	4	0	ENSE00003595497	ENSG00000134686
43	ENST00000257118	protein_coding	9	10	0	ENSE00003595497	ENSG00000134686
43	ENST00000419414	protein_coding	10	11	0	ENSE00003595497	ENSG00000134686
43	ENST00000467894	processed_transcript	2	3	0	ENSE00003508382	ENSG00000134686
43	ENST00000373416	protein_coding	9	10	0	ENSE00003595497	ENSG00000134686
43	ENST00000486897	processed_transcript	2	3	0	ENSE00003508382	ENSG00000134686
43	ENST00000493483	processed_transcript	3	4	0	ENSE00003508382	ENSG00000134686
43	ENST00000473158	processed_transcript	2	3	0	ENSE00003508382	ENSG00000134686
43	ENST00000583214	miRNA	0	1	0	ENSE00002731174	ENSG00000266239
44	ENST00000385206	miRNA	0	1	0	ENSE00001500212	ENSG00000207941
45	ENST00000579351	miRNA	0	1	0	ENSE00002726111	ENSG00000264698
46	ENST00000373087	protein_coding	2	0	0		ENSG00000163874
46	ENST00000472312	retained_intron	0	1	0	ENSE00001859354	ENSG00000163874
47	ENST00000373075	protein_coding	5	0	0		ENSG00000163875
47	ENST00000296214	protein_coding	5	0	0		ENSG00000163875
47	ENST00000373074	protein_coding	4	0	0		ENSG00000163875
47	ENST00000475828	processed_transcript	5	0	0		ENSG00000163875
47	ENST00000487788	processed_transcript	5	0	0		ENSG00000163875
47	ENST00000373073	protein_coding	5	0	0		ENSG00000163875
47	ENST00000487792	processed_transcript	5	0	0		ENSG00000163875
47	ENST00000448519	protein_coding	5	0	0		ENSG00000163875
47	ENST00000580821	miRNA	0	1	0	ENSE00002716849	ENSG00000263675
48	ENST00000432922	lincRNA	1	0	0		ENSG00000224592
48	ENST00000428151	lincRNA	1	0	0		ENSG00000224592
48	ENST00000582606	miRNA	0	1	0	ENSE00002707188	ENSG00000265596
49	ENST00000467203	retained_intron	5	0	0		ENSG00000066136
49	ENST00000424419	retained_intron	2	0	0		ENSG00000066136
49	ENST00000427410	protein_coding	4	0	0		ENSG00000066136
49	ENST00000447388	protein_coding	5	0	0		ENSG00000066136
49	ENST00000425457	protein_coding	5	0	0		ENSG00000066136
49	ENST00000456393	protein_coding	5	0	0		ENSG00000066136
49	ENST00000372654	protein_coding	6	0	0		ENSG00000066136
49	ENST00000372653	protein_coding	10	0	0		ENSG00000066136
49	ENST00000372669	protein_coding	5	0	0		ENSG00000066136
49	ENST00000372652	protein_coding	5	0	0		ENSG00000066136
49	ENST00000372651	protein_coding	5	0	0		ENSG00000066136
49	ENST00000440226	protein_coding	5	0	0		ENSG00000066136
49	ENST00000525290	protein_coding	4	0	0		ENSG00000066136
49	ENST00000416859	protein_coding	3	0	0		ENSG00000066136
49	ENST00000308733	protein_coding	4	0	0		ENSG00000066136
49	ENST00000414185	protein_coding	1	0	0		ENSG00000066136
49	ENST00000362104	miRNA	0	1	0	ENSE00001436867	ENSG00000198974
50	ENST00000467203	retained_intron	5	0	0		ENSG00000066136
50	ENST00000424419	retained_intron	2	0	0		ENSG00000066136
50	ENST00000427410	protein_coding	4	0	0		ENSG00000066136
50	ENST00000447388	protein_coding	5	0	0		ENSG00000066136
50	ENST00000425457	protein_coding	5	0	0		ENSG00000066136
50	ENST00000456393	protein_coding	5	0	0		ENSG00000066136
50	ENST00000372654	protein_coding	6	0	0		ENSG00000066136
50	ENST00000372653	protein_coding	10	0	0		ENSG00000066136
50	ENST00000372669	protein_coding	5	0	0		ENSG00000066136
50	ENST00000372652	protein_coding	5	0	0		ENSG00000066136
50	ENST00000372651	protein_coding	5	0	0		ENSG00000066136
50	ENST00000440226	protein_coding	5	0	0		ENSG00000066136
50	ENST00000525290	protein_coding	4	0	0		ENSG00000066136
50	ENST00000416859	protein_coding	3	0	0		ENSG00000066136
50	ENST00000308733	protein_coding	4	0	0		ENSG00000066136
50	ENST00000414185	protein_coding	1	0	0		ENSG00000066136
50	ENST00000385227	miRNA	0	1	0	ENSE00001500233	ENSG00000207962
51	ENST00000431635	protein_coding	3	0	0		ENSG00000117395
51	ENST00000236051	protein_coding	2	0	0		ENSG00000117395
51	ENST00000491223	processed_transcript	3	0	0		ENSG00000117395
51	ENST00000472982	processed_transcript	2	0	0		ENSG00000117395
51	ENST00000483082	processed_transcript	0	2	0	ENSE00001861071	ENSG00000117395
51	ENST00000461557	processed_transcript	8	0	0		ENSG00000117395
52	ENST00000372458	protein_coding	5	0	0		ENSG00000066322
52	ENST00000413844	protein_coding	4	0	0		ENSG00000066322
52	ENST00000468865	processed_transcript	3	0	0		ENSG00000066322
52	ENST00000464204	processed_transcript	5	0	0		ENSG00000066322
52	ENST00000470968	processed_transcript	5	0	0		ENSG00000066322
52	ENST00000487209	processed_transcript	4	0	0		ENSG00000066322
52	ENST00000470769	processed_transcript	5	0	0		ENSG00000066322
52	ENST00000497569	processed_transcript	5	0	0		ENSG00000066322
52	ENST00000482302	processed_transcript	6	0	0		ENSG00000066322
52	ENST00000497050	processed_transcript	5	0	0		ENSG00000066322
52	ENST00000478481	processed_transcript	2	0	0		ENSG00000066322
52	ENST00000479439	processed_transcript	5	0	0		ENSG00000066322
52	ENST00000465321	processed_transcript	6	0	0		ENSG00000066322
52	ENST00000479686	processed_transcript	4	0	0		ENSG00000066322
52	ENST00000496932	processed_transcript	0	4	0	ENSE00001877884	ENSG00000066322
53	ENST00000562955	protein_coding	68	0	0		ENSG00000198198
53	ENST00000372442	protein_coding	54	0	0		ENSG00000198198
53	ENST00000460536	retained_intron	7	0	0		ENSG00000198198
54	ENST00000489897	nonsense_mediated_decay	5	0	0		ENSG00000126091
54	ENST00000530154	nonsense_mediated_decay	5	0	0		ENSG00000126091
54	ENST00000361392	protein_coding	5	0	0		ENSG00000126091
54	ENST00000361400	protein_coding	4	0	0		ENSG00000126091
54	ENST00000262915	protein_coding	6	0	0		ENSG00000126091
54	ENST00000372375	protein_coding	6	0	0		ENSG00000126091
54	ENST00000351035	protein_coding	5	0	0		ENSG00000126091
54	ENST00000372374	protein_coding	4	0	0		ENSG00000126091
54	ENST00000353126	protein_coding	5	0	0		ENSG00000126091
54	ENST00000545417	protein_coding	5	0	0		ENSG00000126091
54	ENST00000330208	protein_coding	5	0	0		ENSG00000126091
54	ENST00000335430	protein_coding	4	0	0		ENSG00000126091
54	ENST00000372377	protein_coding	5	0	0		ENSG00000126091
54	ENST00000347631	protein_coding	5	0	0		ENSG00000126091
54	ENST00000361812	protein_coding	4	0	0		ENSG00000126091
54	ENST00000372362	protein_coding	4	0	0		ENSG00000126091
54	ENST00000531451	protein_coding	3	0	0		ENSG00000126091
54	ENST00000372369	protein_coding	4	0	0		ENSG00000126091
54	ENST00000361746	protein_coding	5	0	0		ENSG00000126091
54	ENST00000372367	protein_coding	3	0	0		ENSG00000126091
54	ENST00000372366	protein_coding	3	0	0		ENSG00000126091
54	ENST00000372365	protein_coding	4	0	0		ENSG00000126091
54	ENST00000372368	protein_coding	5	0	0		ENSG00000126091
54	ENST00000372372	protein_coding	4	0	0		ENSG00000126091
54	ENST00000490541	nonsense_mediated_decay	1	0	0		ENSG00000126091
54	ENST00000469715	nonsense_mediated_decay	4	0	0		ENSG00000126091
54	ENST00000528371	protein_coding	3	0	0		ENSG00000126091
54	ENST00000531993	protein_coding	3	0	0		ENSG00000126091
54	ENST00000533933	protein_coding	4	0	0		ENSG00000126091
54	ENST00000533212	nonsense_mediated_decay	4	0	0		ENSG00000126091
54	ENST00000533997	nonsense_mediated_decay	4	0	0		ENSG00000126091
54	ENST00000530581	nonsense_mediated_decay	3	0	0		ENSG00000126091
54	ENST00000332628	protein_coding	3	0	0		ENSG00000126091
54	ENST00000531816	protein_coding	3	0	0		ENSG00000126091
54	ENST00000461375	processed_transcript	3	0	0		ENSG00000126091
55	ENST00000355387	protein_coding	2	0	0		ENSG00000187147
55	ENST00000361799	protein_coding	2	0	0		ENSG00000187147
55	ENST00000372247	protein_coding	1	0	0		ENSG00000187147
55	ENST00000443020	protein_coding	1	0	0		ENSG00000187147
55	ENST00000581357	miRNA	0	1	0	ENSE00002699305	ENSG00000263381
56	ENST00000578133	miRNA	0	1	0	ENSE00002715236	ENSG00000265538
58	ENST00000352171	protein_coding	2	0	0		ENSG00000078618
58	ENST00000354831	protein_coding	4	4	0	ENSE00003652824	ENSG00000078618
58	ENST00000485608	processed_transcript	2	2	0	ENSE00003616285	ENSG00000078618
58	ENST00000539524	protein_coding	4	4	0	ENSE00003652824	ENSG00000078618
58	ENST00000544028	protein_coding	2	0	0		ENSG00000078618
58	ENST00000475715	processed_transcript	2	2	0	ENSE00003616285	ENSG00000078618
58	ENST00000390787	miRNA	0	1	0	ENSE00001508464	ENSG00000212076
59	ENST00000371514	protein_coding	1	0	0		ENSG00000116171
59	ENST00000478631	nonsense_mediated_decay	1	0	0		ENSG00000116171
59	ENST00000528311	protein_coding	1	0	0		ENSG00000116171
59	ENST00000371509	protein_coding	1	0	0		ENSG00000116171
59	ENST00000407246	protein_coding	1	0	0		ENSG00000116171
59	ENST00000371513	protein_coding	1	0	0		ENSG00000116171
59	ENST00000528809	processed_transcript	1	0	0		ENSG00000116171
59	ENST00000580581	miRNA	0	1	0	ENSE00002716055	ENSG00000264834
60	ENST00000371514	protein_coding	1	0	0		ENSG00000116171
60	ENST00000478631	nonsense_mediated_decay	1	0	0		ENSG00000116171
60	ENST00000528311	protein_coding	1	0	0		ENSG00000116171
60	ENST00000371509	protein_coding	1	0	0		ENSG00000116171
60	ENST00000407246	protein_coding	1	0	0		ENSG00000116171
60	ENST00000371513	protein_coding	1	0	0		ENSG00000116171
60	ENST00000528809	processed_transcript	1	0	0		ENSG00000116171
60	ENST00000578844	miRNA	0	1	0	ENSE00002701874	ENSG00000266188
61	ENST00000371514	protein_coding	1	0	0		ENSG00000116171
61	ENST00000478631	nonsense_mediated_decay	1	0	0		ENSG00000116171
61	ENST00000528311	protein_coding	1	0	0		ENSG00000116171
61	ENST00000371509	protein_coding	1	0	0		ENSG00000116171
61	ENST00000407246	protein_coding	1	0	0		ENSG00000116171
61	ENST00000371513	protein_coding	1	0	0		ENSG00000116171
61	ENST00000528809	processed_transcript	1	0	0		ENSG00000116171
61	ENST00000577677	miRNA	0	1	0	ENSE00002720256	ENSG00000265815
62	ENST00000498272	processed_transcript	1	0	0		ENSG00000116205
62	ENST00000234827	protein_coding	1	0	0		ENSG00000116205
62	ENST00000585250	miRNA	0	1	0	ENSE00002727597	ENSG00000264208
62	ENST00000371331	protein_coding	0	1	1	ENSE00001454965	ENSG00000116205
63	ENST00000451250	lincRNA	1	0	0		ENSG00000231090
63	ENST00000581938	miRNA	0	1	0	ENSE00002728171	ENSG00000265822
64	ENST00000578274	miRNA	0	1	0	ENSE00002696101	ENSG00000266150
65	ENST00000316485	protein_coding	31	0	0		ENSG00000132849
65	ENST00000459752	retained_intron	31	0	0		ENSG00000132849
65	ENST00000484562	retained_intron	31	0	0		ENSG00000132849
65	ENST00000371158	protein_coding	31	0	0		ENSG00000132849
65	ENST00000484937	nonsense_mediated_decay	19	0	0		ENSG00000132849
65	ENST00000307297	protein_coding	5	0	0		ENSG00000132849
65	ENST00000543708	protein_coding	5	0	0		ENSG00000132849
65	ENST00000545929	protein_coding	4	0	0		ENSG00000132849
65	ENST00000584654	miRNA	0	1	0	ENSE00002695920	ENSG00000263908
68	ENST00000371073	protein_coding	2	0	0		ENSG00000158966
68	ENST00000290039	protein_coding	2	0	0		ENSG00000158966
68	ENST00000495994	processed_transcript	2	0	0		ENSG00000158966
68	ENST00000470527	processed_transcript	1	0	0		ENSG00000158966
68	ENST00000582305	miRNA	0	1	0	ENSE00002703893	ENSG00000264470
69	ENST00000580455	miRNA	0	1	0	ENSE00002731146	ENSG00000265996
70	ENST00000362265	miRNA	0	1	0	ENSE00001437028	ENSG00000199135
71	ENST00000237247	protein_coding	3	0	0		ENSG00000118473
71	ENST00000371039	protein_coding	3	0	0		ENSG00000118473
71	ENST00000424320	protein_coding	3	0	0		ENSG00000118473
71	ENST00000371035	protein_coding	2	0	0		ENSG00000118473
71	ENST00000468286	processed_transcript	2	0	0		ENSG00000118473
71	ENST00000371036	protein_coding	2	0	0		ENSG00000118473
71	ENST00000371037	protein_coding	2	0	0		ENSG00000118473
71	ENST00000483060	processed_transcript	1	0	0		ENSG00000118473
71	ENST00000584034	miRNA	0	1	0	ENSE00002724472	ENSG00000264720
72	ENST00000540432	protein_coding	2	0	0		ENSG00000116729
72	ENST00000354777	protein_coding	2	0	0		ENSG00000116729
72	ENST00000262348	protein_coding	2	0	0		ENSG00000116729
72	ENST00000370976	protein_coding	1	0	0		ENSG00000116729
72	ENST00000534713	protein_coding	1	0	0		ENSG00000116729
72	ENST00000533537	protein_coding	1	0	0		ENSG00000116729
72	ENST00000530486	protein_coding	2	0	0		ENSG00000116729
72	ENST00000370973	protein_coding	2	0	0		ENSG00000116729
72	ENST00000471243	protein_coding	2	0	0		ENSG00000116729
72	ENST00000491076	nonsense_mediated_decay	3	0	0		ENSG00000116729
72	ENST00000527864	nonsense_mediated_decay	3	0	0		ENSG00000116729
72	ENST00000408276	miRNA	0	1	0	ENSE00001564911	ENSG00000221203
73	ENST00000370920	protein_coding	8	0	0		ENSG00000132485
73	ENST00000254821	protein_coding	8	0	0		ENSG00000132485
73	ENST00000487510	processed_transcript	1	0	0		ENSG00000132485
73	ENST00000384988	miRNA	0	1	0	ENSE00001499995	ENSG00000207721
74	ENST00000477717	protein_coding	4	0	0		ENSG00000117069
74	ENST00000318803	nonsense_mediated_decay	4	0	0		ENSG00000117069
75	ENST00000580922	miRNA	0	1	0	ENSE00002703092	ENSG00000266110
76	ENST00000359242	protein_coding	13	0	0		ENSG00000122417
76	ENST00000460698	protein_coding	8	0	0		ENSG00000122417
76	ENST00000370566	protein_coding	12	0	0		ENSG00000122417
76	ENST00000317336	protein_coding	13	0	0		ENSG00000122417
76	ENST00000370567	protein_coding	12	0	0		ENSG00000122417
76	ENST00000394731	protein_coding	11	0	0		ENSG00000122417
76	ENST00000294678	protein_coding	12	0	0		ENSG00000122417
76	ENST00000476054	retained_intron	2	0	0		ENSG00000122417
76	ENST00000524695	processed_transcript	5	0	0		ENSG00000122417
76	ENST00000472144	retained_intron	2	0	0		ENSG00000122417
77	ENST00000390220	miRNA	0	1	0	ENSE00001507647	ENSG00000211575
78	ENST00000442418	lincRNA	1	0	0		ENSG00000224081
78	ENST00000452922	lincRNA	1	0	0		ENSG00000224081
78	ENST00000421997	lincRNA	1	0	0		ENSG00000224081
78	ENST00000414374	lincRNA	1	0	0		ENSG00000224081
78	ENST00000418366	lincRNA	1	0	0		ENSG00000224081
78	ENST00000579876	miRNA	0	1	0	ENSE00002687356	ENSG00000263526
79	ENST00000424528	lincRNA	3	0	0		ENSG00000225206
79	ENST00000413670	lincRNA	0	1	0	ENSE00003380382	ENSG00000225206
79	ENST00000538428	lincRNA	0	1	0	ENSE00002230096	ENSG00000225206
79	ENST00000602852	lincRNA	1	0	0		ENSG00000225206
79	ENST00000602984	lincRNA	1	2	0	ENSE00003231886	ENSG00000225206
79	ENST00000580305	miRNA	0	1	0	ENSE00002727654	ENSG00000225206
80	ENST00000424528	lincRNA	0	3	0	ENSE00001668935	ENSG00000225206
80	ENST00000602852	lincRNA	0	1	0	ENSE00003228489	ENSG00000225206
80	ENST00000602984	lincRNA	0	1	0	ENSE00003278615	ENSG00000225206
80	ENST00000385223	miRNA	0	1	0	ENSE00001500229	ENSG00000225206
81	ENST00000370128	protein_coding	8	0	0		ENSG00000137996
81	ENST00000260563	protein_coding	9	0	0		ENSG00000137996
81	ENST00000385017	miRNA	0	1	0	ENSE00001500024	ENSG00000207750
83	ENST00000384976	miRNA	0	1	0	ENSE00001499983	ENSG00000207709
85	ENST00000369489	protein_coding	1	0	0		ENSG00000116815
85	ENST00000464088	nonsense_mediated_decay	1	0	0		ENSG00000116815
85	ENST00000457047	protein_coding	1	0	0		ENSG00000116815
85	ENST00000369487	protein_coding	1	0	0		ENSG00000116815
85	ENST00000585049	miRNA	0	1	0	ENSE00002696940	ENSG00000264419
86	ENST00000390209	miRNA	0	1	0	ENSE00001507636	ENSG00000211543
